,Image,Phone Name,Price,Specification,Rating
907,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/e/a/x90-v2218-vivo-original-imagzzrqmx6cpcps.jpeg?q=70,"vivo X90 (Breeze Blue, 256 GB)","₹63,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4810 mAh BatteryDimensity 9200 Processor1 Year Handset and 6 Months Accessories,4.2
908,https://rukminim2.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dubf3nytw.jpeg?q=70,"APPLE iPhone 12 (Green, 64 GB)","₹53,999","64 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",4.6
909,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/w/w/-original-imagpyqfsf6qtgtv.jpeg?q=70,"vivo X90 (Asteroid Black, 256 GB)","₹59,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4810 mAh BatteryDimensity 9200 Processor1 Year Handset and 6 Months Accessories,4.4
910,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/u/o/-original-imagh7nnpy9wgyzh.jpeg?q=70,"SAMSUNG Galaxy Z Flip4 5G (Graphite, 128 GB)","₹89,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display12MP + 12MP | 10MP Front Camera3700 mAh Lithium Ion BatteryQualcomm Snapdragon 8+ Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,3.7
911,https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70,"APPLE iPhone 13 (Starlight, 256 GB)","₹68,499",256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,4.7
912,https://rukminim2.flixcart.com/image/312/312/kmwcuq80/mobile/s/1/c/a15-cph2179-oppo-original-imagfpgpskgrjfy5.jpeg?q=70,"OPPO A15 (Dynamic Black, 32 GB)","₹10,990",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.56 cm (6.52 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera4230 mAh Lithium-ion Polymer BatteryMediaTek Helio P35 (MT6765) ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,4.3
913,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/b/s/vision3-turbo-s661lp-itel-original-imaggwyfguzdqzhx.jpeg?q=70,"itel Vision3 Turbo (Deep Ocean Black, 64 GB)","₹7,399",3 GB RAM | 64 GB ROM16.76 cm (6.6 inch) Display8MP Rear Camera5000 mAh Battery1 Year warranty on mobile device &  6 months on accessories.,4.2
914,https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/v/f/y/-original-imagetmeguhrdsqs.jpeg?q=70,"realme GT Master Edition (Voyager Grey, 256 GB)","₹24,999",8 GB RAM | 256 GB ROM16.33 cm (6.43 inch) Full HD+ Display64MP + 8MP + 2MP | 32MP Front Camera4300 mAh BatteryQualcomm Snapdragon 778G Processor1 Year Warranty for Mobile and 6 Months for Accessories,4.3
915,https://rukminim2.flixcart.com/image/312/312/kyj0vbk0/mobile/r/z/u/spark-go-2022-kg5-tecno-original-imagaqzgmyp4tkvy.jpeg?q=70,"Tecno Spark Go 2022 (Turquoise Cyan, 32 GB)","₹6,999",2 GB RAM | 32 GB ROM16.66 cm (6.56 inch) HD+ Display13MP Rear Camera5000 mAh BatteryHelio A20 Processor12 Month,4.2
916,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/b/o/-original-imageypzw8gumvyz.jpeg?q=70,"OnePlus 10R 5G (Forest Green, 256 GB)","₹34,199",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery12 months,4.2
